roc_auc,std,params,model__ccp_alpha,model__criterion,model__learning_rate,model__loss,model__max_depth,model__max_features,model__min_samples_leaf,model__n_iter_no_change,model__subsample
0.8501141584009557,0.005034612137592554,"{'model__ccp_alpha': 0.0067125017289286345, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 17, 'model__max_features': 'log2', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",0.0067125017289286345,squared_error,0.03,exponential,17,log2,25,15,0.9
0.8499794066435656,0.003538112115805483,"{'model__ccp_alpha': 0.0025278441179516814, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 150, 'model__n_iter_no_change': 50, 'model__subsample': 1.0}",0.0025278441179516814,friedman_mse,0.2,exponential,10,auto,150,50,1.0
0.8498004380031141,0.003227586194928236,"{'model__ccp_alpha': 0.0006470554049860636, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.03, 'model__loss': 'deviance', 'model__max_depth': 25, 'model__max_features': 'log2', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 10, 'model__subsample': 0.8}",0.0006470554049860636,friedman_mse,0.03,deviance,25,log2,75,10,0.8
0.8497259850948311,0.004257495209238401,"{'model__ccp_alpha': 0.003140225276750455, 'model__criterion': 'squared_error', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 27, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 50, 'model__n_iter_no_change': 10, 'model__subsample': 1.0}",0.003140225276750455,squared_error,0.3,exponential,27,sqrt,50,10,1.0
0.8493439337058518,0.0037589772805867792,"{'model__ccp_alpha': 0.00047389171421508935, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'deviance', 'model__max_depth': 11, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__n_iter_no_change': 50, 'model__subsample': 0.6}",0.00047389171421508935,friedman_mse,0.1,deviance,11,sqrt,10,50,0.6
0.8490856620660487,0.0033600801910931223,"{'model__ccp_alpha': 0.003410211284207681, 'model__criterion': 'squared_error', 'model__learning_rate': 0.1, 'model__loss': 'exponential', 'model__max_depth': 16, 'model__max_features': None, 'model__min_samples_leaf': 100, 'model__n_iter_no_change': 5, 'model__subsample': 0.6}",0.003410211284207681,squared_error,0.1,exponential,16,,100,5,0.6
0.8490075551712837,0.005427567774942744,"{'model__ccp_alpha': 0.005725676456125924, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 13, 'model__max_features': 'log2', 'model__min_samples_leaf': 50, 'model__n_iter_no_change': 5, 'model__subsample': 0.9}",0.005725676456125924,friedman_mse,0.2,exponential,13,log2,50,5,0.9
0.84898790475478,0.004777876860970467,"{'model__ccp_alpha': 0.0021255229313200553, 'model__criterion': 'squared_error', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 5, 'model__subsample': 0.8}",0.0021255229313200553,squared_error,0.01,exponential,7,,75,5,0.8
0.8488014205476835,0.00468475820282063,"{'model__ccp_alpha': 0.00953526832296283, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'exponential', 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 25, 'model__subsample': 0.9}",0.00953526832296283,friedman_mse,0.1,exponential,12,sqrt,75,25,0.9
0.8485902710999419,0.0037385573920433674,"{'model__ccp_alpha': 0.0006136745672660179, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.03, 'model__loss': 'deviance', 'model__max_depth': 26, 'model__max_features': 'log2', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",0.0006136745672660179,friedman_mse,0.03,deviance,26,log2,25,15,0.9
0.848411942037308,0.004501755700046649,"{'model__ccp_alpha': 0.009224030166825643, 'model__criterion': 'squared_error', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 19, 'model__max_features': 'log2', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.009224030166825643,squared_error,0.2,exponential,19,log2,75,50,0.7
0.8483654355781243,0.0042060743395203725,"{'model__ccp_alpha': 0.0036575510790099316, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 9, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.0036575510790099316,squared_error,0.03,exponential,9,,75,50,0.7
0.8483292333342334,0.0039953253517703,"{'model__ccp_alpha': 0.007103284656027243, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 50, 'model__subsample': 0.7}",0.007103284656027243,friedman_mse,0.2,exponential,5,log2,75,50,0.7
0.8477731978739209,0.00529186856042323,"{'model__ccp_alpha': 0.00017515701984010854, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'log_loss', 'model__max_depth': 23, 'model__max_features': None, 'model__min_samples_leaf': 150, 'model__n_iter_no_change': 25, 'model__subsample': 0.7}",0.00017515701984010854,squared_error,0.03,log_loss,23,,150,25,0.7
0.8473510819588104,0.005831841692040915,"{'model__ccp_alpha': 0.0029721717799719555, 'model__criterion': 'squared_error', 'model__learning_rate': 0.3, 'model__loss': 'exponential', 'model__max_depth': 24, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 10, 'model__subsample': 0.7}",0.0029721717799719555,squared_error,0.3,exponential,24,,75,10,0.7
0.847050646956685,0.005412197526156649,"{'model__ccp_alpha': 0.007580789217396472, 'model__criterion': 'squared_error', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 27, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 25, 'model__subsample': 0.8}",0.007580789217396472,squared_error,0.2,exponential,27,sqrt,75,25,0.8
0.8466399092267014,0.004015058399204418,"{'model__ccp_alpha': 0.004256856033479535, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 18, 'model__max_features': None, 'model__min_samples_leaf': 100, 'model__n_iter_no_change': 10, 'model__subsample': 0.6}",0.004256856033479535,squared_error,0.03,exponential,18,,100,10,0.6
0.8456147581082014,0.0048022557000693905,"{'model__ccp_alpha': 0.0012056927764324272, 'model__criterion': 'squared_error', 'model__learning_rate': 0.005, 'model__loss': 'exponential', 'model__max_depth': 12, 'model__max_features': None, 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 50, 'model__subsample': 1.0}",0.0012056927764324272,squared_error,0.005,exponential,12,,25,50,1.0
0.845402666345838,0.0044966135427049895,"{'model__ccp_alpha': 0.004333788492706875, 'model__criterion': 'squared_error', 'model__learning_rate': 0.05, 'model__loss': 'exponential', 'model__max_depth': 4, 'model__max_features': 'auto', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 25, 'model__subsample': 0.6}",0.004333788492706875,squared_error,0.05,exponential,4,auto,25,25,0.6
0.8447767542453357,0.005131071744438811,"{'model__ccp_alpha': 0.003649274346694978, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 75, 'model__n_iter_no_change': 15, 'model__subsample': 0.7}",0.003649274346694978,friedman_mse,0.01,exponential,7,,75,15,0.7
0.8447488554705703,0.0050752125300561855,"{'model__ccp_alpha': 0.002847221419501765, 'model__criterion': 'squared_error', 'model__learning_rate': 0.01, 'model__loss': 'exponential', 'model__max_depth': 12, 'model__max_features': 'auto', 'model__min_samples_leaf': 100, 'model__n_iter_no_change': 5, 'model__subsample': 0.9}",0.002847221419501765,squared_error,0.01,exponential,12,auto,100,5,0.9
0.8445000273668066,0.0033914414115597067,"{'model__ccp_alpha': 0.0014125104747169071, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'log_loss', 'model__max_depth': 28, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 150, 'model__n_iter_no_change': 15, 'model__subsample': 0.6}",0.0014125104747169071,squared_error,0.03,log_loss,28,sqrt,150,15,0.6
0.8444891637610235,0.005909164045081792,"{'model__ccp_alpha': 0.0021038392803767922, 'model__criterion': 'squared_error', 'model__learning_rate': 0.005, 'model__loss': 'exponential', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.6}",0.0021038392803767922,squared_error,0.005,exponential,7,,25,15,0.6
0.844297639997347,0.005267619348430469,"{'model__ccp_alpha': 0.004096786201245969, 'model__criterion': 'squared_error', 'model__learning_rate': 0.2, 'model__loss': 'exponential', 'model__max_depth': 22, 'model__max_features': None, 'model__min_samples_leaf': 50, 'model__n_iter_no_change': 50, 'model__subsample': 0.9}",0.004096786201245969,squared_error,0.2,exponential,22,,50,50,0.9
0.8440184674275681,0.0053384508105756,"{'model__ccp_alpha': 0.005970921961317358, 'model__criterion': 'squared_error', 'model__learning_rate': 0.03, 'model__loss': 'exponential', 'model__max_depth': 9, 'model__max_features': None, 'model__min_samples_leaf': 50, 'model__n_iter_no_change': 10, 'model__subsample': 0.7}",0.005970921961317358,squared_error,0.03,exponential,9,,50,10,0.7
0.8439556124570788,0.0032741577484397036,"{'model__ccp_alpha': 0.001417648395173613, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.03, 'model__loss': 'deviance', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 25, 'model__n_iter_no_change': 15, 'model__subsample': 0.9}",0.001417648395173613,friedman_mse,0.03,deviance,6,log2,25,15,0.9
