roc_auc,std,params,model__grow_policy,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_lambda,model__subsample
0.8642464895067764,0.0035440855902859293,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_lambda': 54.0191753075768, 'model__subsample': 0.9}",Depthwise,0.1,15,150,54.0191753075768,0.9
0.8642460338613407,0.0037972292513340383,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.3, 'model__max_depth': 11, 'model__min_child_samples': 75, 'model__reg_lambda': 51.70175339291551, 'model__subsample': 1.0}",Depthwise,0.3,11,75,51.70175339291551,1.0
0.8642447250430647,0.0036460787923475097,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_lambda': 85.58426387804238, 'model__subsample': 1.0}",Depthwise,0.1,13,150,85.58426387804238,1.0
0.8642267196145301,0.004352291716338987,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.2, 'model__max_depth': 16, 'model__min_child_samples': 150, 'model__reg_lambda': 56.75897850391438, 'model__subsample': 0.7}",Lossguide,0.2,16,150,56.75897850391438,0.7
0.8642238531449898,0.003935819171107534,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 75, 'model__reg_lambda': 92.98291777197932, 'model__subsample': 0.8}",Depthwise,0.1,16,75,92.98291777197932,0.8
0.8642169929945231,0.0036399133021533733,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.2, 'model__max_depth': 12, 'model__min_child_samples': 50, 'model__reg_lambda': 93.89302892863162, 'model__subsample': 0.7}",Lossguide,0.2,12,50,93.89302892863162,0.7
0.864170695525339,0.003771785330332922,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 30.36116628369392, 'model__subsample': 1.0}",Lossguide,0.1,11,150,30.36116628369392,1.0
0.8641572055559065,0.003595598251197371,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 50, 'model__reg_lambda': 90.26603181106874, 'model__subsample': 0.6}",Depthwise,0.1,11,50,90.26603181106874,0.6
0.8641499162540572,0.003949808528800482,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.05, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 37.70972961052786, 'model__subsample': 1.0}",Depthwise,0.05,11,150,37.70972961052786,1.0
0.8641451029834852,0.003439608830425624,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.2, 'model__max_depth': 10, 'model__min_child_samples': 150, 'model__reg_lambda': 65.55112218659806, 'model__subsample': 0.9}",Lossguide,0.2,10,150,65.55112218659806,0.9
0.8641172759651272,0.003768462315274653,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 75, 'model__reg_lambda': 53.09518665151542, 'model__subsample': 0.7}",Depthwise,0.1,7,75,53.09518665151542,0.7
0.8641054603772812,0.003618988219370777,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_samples': 150, 'model__reg_lambda': 75.59191882795655, 'model__subsample': 1.0}",Depthwise,0.1,6,150,75.59191882795655,1.0
0.8640760046717378,0.003653430881190188,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 25, 'model__reg_lambda': 79.23864971270348, 'model__subsample': 0.7}",Depthwise,0.1,15,25,79.23864971270348,0.7
0.8640752869781275,0.003757198604370391,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__min_child_samples': 150, 'model__reg_lambda': 74.41552489002571, 'model__subsample': 0.7}",Depthwise,0.1,8,150,74.41552489002571,0.7
0.8640722651582934,0.0035212567897231904,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 150, 'model__reg_lambda': 85.7023372456906, 'model__subsample': 0.8}",Depthwise,0.1,16,150,85.7023372456906,0.8
0.8640189999405281,0.0034711553963357312,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__min_child_samples': 25, 'model__reg_lambda': 88.42222906460213, 'model__subsample': 1.0}",Depthwise,0.2,5,25,88.42222906460213,1.0
0.8640140950089812,0.003678130376621942,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 25, 'model__reg_lambda': 42.637762130107916, 'model__subsample': 0.7}",Depthwise,0.1,7,25,42.637762130107916,0.7
0.8640105238925171,0.003610990725898123,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 12, 'model__min_child_samples': 75, 'model__reg_lambda': 71.02551775825773, 'model__subsample': 0.7}",Depthwise,0.2,12,75,71.02551775825773,0.7
0.8639904452590459,0.003772058520477174,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.05, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 49.18716525716272, 'model__subsample': 0.7}",Depthwise,0.05,11,150,49.18716525716272,0.7
0.8639896127353287,0.003785879801579524,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_samples': 50, 'model__reg_lambda': 55.56251003340894, 'model__subsample': 0.8}",Lossguide,0.1,6,50,55.56251003340894,0.8
0.8639787213225327,0.003838507272861538,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__min_child_samples': 10, 'model__reg_lambda': 43.68574571103054, 'model__subsample': 0.8}",Lossguide,0.1,12,10,43.68574571103054,0.8
0.8639717012921283,0.003398137345868114,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__min_child_samples': 75, 'model__reg_lambda': 60.346260768405706, 'model__subsample': 0.8}",Lossguide,0.1,10,75,60.346260768405706,0.8
0.8639690330819325,0.00395879823834824,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 25, 'model__reg_lambda': 92.00563257857243, 'model__subsample': 0.7}",Depthwise,0.1,16,25,92.00563257857243,0.7
0.8639678861532897,0.003352913395506927,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 50, 'model__reg_lambda': 89.51649243970658, 'model__subsample': 0.7}",Depthwise,0.1,16,50,89.51649243970658,0.7
0.8639255244400721,0.0038758409578569996,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__min_child_samples': 150, 'model__reg_lambda': 23.249180264773877, 'model__subsample': 0.7}",Depthwise,0.05,7,150,23.249180264773877,0.7
0.8639245696959452,0.003540250540941352,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__min_child_samples': 150, 'model__reg_lambda': 93.34079223795302, 'model__subsample': 0.7}",Depthwise,0.1,7,150,93.34079223795302,0.7
