roc_auc,std,params,model__booster,model__gamma,model__grow_policy,model__learning_rate,model__max_delta_step,model__max_depth,model__reg_alpha,model__reg_lambda,model__subsample
0.8619166650420457,0.0035714563373582583,"{'model__booster': 'dart', 'model__gamma': 1.6544693278091755, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 3.726258969775822, 'model__max_depth': 19, 'model__reg_alpha': 48.96402349431627, 'model__reg_lambda': 96.94654017184783, 'model__subsample': 0.6}",dart,1.6544693278091755,depthwise,0.3,3.726258969775822,19,48.96402349431627,96.94654017184783,0.6
0.8618807772353078,0.003443394814505668,"{'model__booster': 'dart', 'model__gamma': 12.357077932851308, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.109926255094768, 'model__max_depth': 13, 'model__reg_alpha': 18.578450976439672, 'model__reg_lambda': 22.740550706085088, 'model__subsample': 0.8}",dart,12.357077932851308,lossguide,0.3,9.109926255094768,13,18.578450976439672,22.740550706085088,0.8
0.8618736841625096,0.0038866838197393265,"{'model__booster': 'dart', 'model__gamma': 13.342329896510151, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 4.438477250389866, 'model__max_depth': 18, 'model__reg_alpha': 16.015134542550427, 'model__reg_lambda': 35.105032997597334, 'model__subsample': 0.8}",dart,13.342329896510151,lossguide,0.3,4.438477250389866,18,16.015134542550427,35.105032997597334,0.8
0.8617862960913797,0.0037220742295064322,"{'model__booster': 'dart', 'model__gamma': 0.9184532525515947, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 1.10009324869846, 'model__max_depth': 20, 'model__reg_alpha': 44.122732934512754, 'model__reg_lambda': 84.75281977744947, 'model__subsample': 0.6}",dart,0.9184532525515947,depthwise,0.3,1.10009324869846,20,44.122732934512754,84.75281977744947,0.6
0.8617853294640483,0.00389687419203127,"{'model__booster': 'dart', 'model__gamma': 1.698670573251734, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 1.0386855666908337, 'model__max_depth': 20, 'model__reg_alpha': 43.66026190937572, 'model__reg_lambda': 84.203836456764, 'model__subsample': 0.6}",dart,1.698670573251734,depthwise,0.3,1.0386855666908337,20,43.66026190937572,84.203836456764,0.6
0.8617107032921061,0.003229454633095949,"{'model__booster': 'dart', 'model__gamma': 13.355793421481305, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.719497610257628, 'model__max_depth': 7, 'model__reg_alpha': 7.824890521475827, 'model__reg_lambda': 76.61885763012565, 'model__subsample': 1.0}",dart,13.355793421481305,lossguide,0.3,9.719497610257628,7,7.824890521475827,76.61885763012565,1.0
0.8615529890591966,0.003264710456001746,"{'model__booster': 'gbtree', 'model__gamma': 2.8329028171398534, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 8.53253806988626, 'model__max_depth': 11, 'model__reg_alpha': 2.765749936066602, 'model__reg_lambda': 18.019266333817384, 'model__subsample': 0.8}",gbtree,2.8329028171398534,lossguide,0.3,8.53253806988626,11,2.765749936066602,18.019266333817384,0.8
0.8614481467062326,0.0035764534496737013,"{'model__booster': 'dart', 'model__gamma': 13.23386639467788, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 2.3590225205942854, 'model__max_depth': 12, 'model__reg_alpha': 35.45521308000291, 'model__reg_lambda': 12.622693532356436, 'model__subsample': 0.9}",dart,13.23386639467788,depthwise,0.3,2.3590225205942854,12,35.45521308000291,12.622693532356436,0.9
0.8614038093777324,0.003623277358669318,"{'model__booster': 'dart', 'model__gamma': 16.61189293428242, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 9.938425394155884, 'model__max_depth': 7, 'model__reg_alpha': 2.954077895324586, 'model__reg_lambda': 70.63587259878433, 'model__subsample': 1.0}",dart,16.61189293428242,lossguide,0.3,9.938425394155884,7,2.954077895324586,70.63587259878433,1.0
0.861333936480434,0.0038487335616237874,"{'model__booster': 'dart', 'model__gamma': 15.736087049219922, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.3, 'model__max_delta_step': 8.375615363678666, 'model__max_depth': 6, 'model__reg_alpha': 7.887174087949525, 'model__reg_lambda': 64.87871552762579, 'model__subsample': 0.9}",dart,15.736087049219922,lossguide,0.3,8.375615363678666,6,7.887174087949525,64.87871552762579,0.9
0.8612880329391134,0.00349439129654475,"{'model__booster': 'dart', 'model__gamma': 0.031048150986295653, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.3, 'model__max_delta_step': 2.7576487317962295, 'model__max_depth': 23, 'model__reg_alpha': 69.69692607671999, 'model__reg_lambda': 80.06403572555665, 'model__subsample': 0.6}",dart,0.031048150986295653,depthwise,0.3,2.7576487317962295,23,69.69692607671999,80.06403572555665,0.6
0.8611345311936324,0.003530797104300822,"{'model__booster': 'gbtree', 'model__gamma': 1.552936880137283, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.2, 'model__max_delta_step': 1.8539197655591313, 'model__max_depth': 20, 'model__reg_alpha': 32.68953192120652, 'model__reg_lambda': 86.2845849813075, 'model__subsample': 0.8}",gbtree,1.552936880137283,depthwise,0.2,1.8539197655591313,20,32.68953192120652,86.2845849813075,0.8
0.8609745248373801,0.003697672644558616,"{'model__booster': 'gbtree', 'model__gamma': 0.23261023568004768, 'model__grow_policy': 'depthwise', 'model__learning_rate': 0.2, 'model__max_delta_step': 1.9262291679649537, 'model__max_depth': 20, 'model__reg_alpha': 33.22183419820281, 'model__reg_lambda': 87.0804905417362, 'model__subsample': 0.8}",gbtree,0.23261023568004768,depthwise,0.2,1.9262291679649537,20,33.22183419820281,87.0804905417362,0.8
0.8608965465339822,0.0039586940407507895,"{'model__booster': 'dart', 'model__gamma': 15.965062208549432, 'model__grow_policy': 'lossguide', 'model__learning_rate': 0.2, 'model__max_delta_step': 8.976043464593632, 'model__max_depth': 10, 'model__reg_alpha': 2.461453473958281, 'model__reg_lambda': 14.724683745858364, 'model__subsample': 0.8}",dart,15.965062208549432,lossguide,0.2,8.976043464593632,10,2.461453473958281,14.724683745858364,0.8
