roc_auc,std,params,model__boosting_type,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_alpha,model__reg_lambda,model__subsample
0.8635861708812979,0.003681847855031388,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 27, 'model__min_child_samples': 25, 'model__reg_alpha': 11.204683904291322, 'model__reg_lambda': 12.545706038651305, 'model__subsample': 0.8}",gbdt,0.1,27,25,11.204683904291322,12.545706038651305,0.8
0.8635860844192642,0.003966381546753764,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 19, 'model__min_child_samples': 25, 'model__reg_alpha': 11.948353086386678, 'model__reg_lambda': 50.06947797941244, 'model__subsample': 0.9}",gbdt,0.1,19,25,11.948353086386678,50.06947797941244,0.9
0.8635686693130535,0.003744979460463265,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 21, 'model__min_child_samples': 25, 'model__reg_alpha': 0.8343902713088376, 'model__reg_lambda': 21.94449698712387, 'model__subsample': 1.0}",gbdt,0.1,21,25,0.8343902713088376,21.94449698712387,1.0
0.8635658166996988,0.0039048918076041825,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 150, 'model__reg_alpha': 6.473272018478293, 'model__reg_lambda': 65.12130794538098, 'model__subsample': 1.0}",gbdt,0.1,13,150,6.473272018478293,65.12130794538098,1.0
0.8635611491703099,0.003914063705787652,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 27, 'model__min_child_samples': 75, 'model__reg_alpha': 15.212886882302342, 'model__reg_lambda': 24.87401462359982, 'model__subsample': 0.8}",gbdt,0.1,27,75,15.212886882302342,24.87401462359982,0.8
0.8635509015463908,0.003767481538953827,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_samples': 25, 'model__reg_alpha': 5.182000459271993, 'model__reg_lambda': 35.661318099874755, 'model__subsample': 1.0}",gbdt,0.1,9,25,5.182000459271993,35.661318099874755,1.0
0.8635452491569253,0.0037731092601374448,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_alpha': 1.5589116843891402, 'model__reg_lambda': 97.82928628519102, 'model__subsample': 1.0}",gbdt,0.1,15,150,1.5589116843891402,97.82928628519102,1.0
0.8635402504792463,0.003672107039909525,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 18, 'model__min_child_samples': 25, 'model__reg_alpha': 15.358753013110775, 'model__reg_lambda': 21.99662093333492, 'model__subsample': 1.0}",gbdt,0.1,18,25,15.358753013110775,21.99662093333492,1.0
0.8635082774371019,0.0037430861771377954,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 15, 'model__min_child_samples': 150, 'model__reg_alpha': 3.892845446842628, 'model__reg_lambda': 91.40469218364245, 'model__subsample': 1.0}",gbdt,0.1,15,150,3.892845446842628,91.40469218364245,1.0
0.8635038236644126,0.0035135353374048084,"{'model__boosting_type': 'dart', 'model__learning_rate': 0.3, 'model__max_depth': 7, 'model__min_child_samples': 25, 'model__reg_alpha': 35.298899367586706, 'model__reg_lambda': 19.79636968510065, 'model__subsample': 1.0}",dart,0.3,7,25,35.298899367586706,19.79636968510065,1.0
0.8635003293754625,0.003747222765910175,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 20, 'model__min_child_samples': 100, 'model__reg_alpha': 13.08550307326367, 'model__reg_lambda': 1.9910406329509627, 'model__subsample': 1.0}",gbdt,0.1,20,100,13.08550307326367,1.9910406329509627,1.0
0.8634767126834791,0.003347870068087187,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 29, 'model__min_child_samples': 150, 'model__reg_alpha': 51.9103644360587, 'model__reg_lambda': 72.28578898338867, 'model__subsample': 0.6}",gbdt,0.1,29,150,51.9103644360587,72.28578898338867,0.6
0.8634713002204908,0.00340534836068101,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 16, 'model__min_child_samples': 50, 'model__reg_alpha': 41.358176308627584, 'model__reg_lambda': 33.60384364784077, 'model__subsample': 0.6}",gbdt,0.1,16,50,41.358176308627584,33.60384364784077,0.6
0.8634691915170467,0.0037018240069133317,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 9, 'model__min_child_samples': 75, 'model__reg_alpha': 40.039198608252214, 'model__reg_lambda': 57.53992009163872, 'model__subsample': 0.7}",gbdt,0.1,9,75,40.039198608252214,57.53992009163872,0.7
0.863468821633662,0.003766909424761118,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 29, 'model__min_child_samples': 25, 'model__reg_alpha': 20.223651826821847, 'model__reg_lambda': 29.25870922359981, 'model__subsample': 1.0}",gbdt,0.1,29,25,20.223651826821847,29.25870922359981,1.0
0.8634645156683611,0.0033743502769286514,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_samples': 25, 'model__reg_alpha': 19.695050979812088, 'model__reg_lambda': 29.812256745155018, 'model__subsample': 0.9}",gbdt,0.1,5,25,19.695050979812088,29.812256745155018,0.9
0.8634632577361018,0.003677083127217402,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 24, 'model__min_child_samples': 25, 'model__reg_alpha': 2.5180476364897473, 'model__reg_lambda': 10.892346586972218, 'model__subsample': 1.0}",gbdt,0.1,24,25,2.5180476364897473,10.892346586972218,1.0
0.8634596498150777,0.0037354204762920892,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 24, 'model__min_child_samples': 25, 'model__reg_alpha': 29.336047284454096, 'model__reg_lambda': 36.028951064743474, 'model__subsample': 0.7}",gbdt,0.1,24,25,29.336047284454096,36.028951064743474,0.7
0.8634561840500732,0.0037153881862285153,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 17, 'model__min_child_samples': 150, 'model__reg_alpha': 21.294951136832793, 'model__reg_lambda': 85.36681668168946, 'model__subsample': 1.0}",gbdt,0.1,17,150,21.294951136832793,85.36681668168946,1.0
0.8634558230732358,0.0038187435718592187,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 19, 'model__min_child_samples': 25, 'model__reg_alpha': 16.675432856086093, 'model__reg_lambda': 42.98531744519989, 'model__subsample': 1.0}",gbdt,0.1,19,25,16.675432856086093,42.98531744519989,1.0
0.863452482704506,0.0033962371946096226,"{'model__boosting_type': 'gbdt', 'model__learning_rate': 0.1, 'model__max_depth': 25, 'model__min_child_samples': 25, 'model__reg_alpha': 56.658536739864104, 'model__reg_lambda': 10.997661105244006, 'model__subsample': 1.0}",gbdt,0.1,25,25,56.658536739864104,10.997661105244006,1.0
